Using cuda device
Logging to ./ppo_marl_tb/PPO_18
---------------------------------
| rollout/           |          |
|    time_elapsed         | 6            |
|    total_timesteps      | 3000         |
| train/                  |              |
|    approx_kl            | 0.0033311911 |
|    clip_fraction        | 0.015        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.6         |
|    explained_variance   | -0.335       |
|    learning_rate        | 0.0003       |
|    loss                 | 36.9         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0119      |
|    value_loss           | 207          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -126         |
| time/                   |              |
|    fps                  | 471          |
|    iterations           | 6            |
|    time_elapsed         | 7            |
|    total_timesteps      | 3600         |
| train/                  |              |
|    approx_kl            | 0.0062365187 |
|    clip_fraction        | 0.0193       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.6         |
|    explained_variance   | -1.28        |
|    learning_rate        | 0.0003       |
|    loss                 | 46.3         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0159      |
|    value_loss           | 191          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -134         |
| time/                   |              |
|    fps                  | 477          |
|    iterations           | 7            |
|    time_elapsed         | 8            |
|    total_timesteps      | 4200         |
| train/                  |              |
|    approx_kl            | 0.0029247033 |
|    clip_fraction        | 0.000313     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.59        |
|    explained_variance   | -0.264       |
|    learning_rate        | 0.0003       |
|    loss                 | 80.9         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00272     |
|    value_loss           | 306          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -130        |
| time/                   |             |
|    fps                  | 484         |
|    iterations           | 8           |
|    time_elapsed         | 9           |
|    total_timesteps      | 4800        |
| train/                  |             |
|    approx_kl            | 0.004242408 |
|    clip_fraction        | 0.0129      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | -0.0951     |
|    learning_rate        | 0.0003      |
|    loss                 | 97.4        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00752    |
|    value_loss           | 264         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -132        |
| time/                   |             |
|    fps                  | 484         |
|    iterations           | 9           |
|    time_elapsed         | 11          |
|    total_timesteps      | 5400        |
| train/                  |             |
|    approx_kl            | 0.009815976 |
|    clip_fraction        | 0.0419      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.57       |
|    explained_variance   | 0.288       |
|    learning_rate        | 0.0003      |
|    loss                 | 47.6        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 229         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -129        |
| time/                   |             |
|    fps                  | 485         |
|    iterations           | 10          |
|    time_elapsed         | 12          |
|    total_timesteps      | 6000        |
| train/                  |             |
|    approx_kl            | 0.003214696 |
|    clip_fraction        | 0.00833     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | -0.899      |
|    learning_rate        | 0.0003      |
|    loss                 | 138         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00918    |
|    value_loss           | 251         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -129         |
| time/                   |              |
|    fps                  | 486          |
|    iterations           | 11           |
|    time_elapsed         | 13           |
|    total_timesteps      | 6600         |
| train/                  |              |
|    approx_kl            | 0.0019212045 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.58        |
|    explained_variance   | -0.537       |
|    learning_rate        | 0.0003       |
|    loss                 | 87.3         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.0047      |
|    value_loss           | 292          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -130        |
| time/                   |             |
|    fps                  | 488         |
|    iterations           | 12          |
|    time_elapsed         | 14          |
|    total_timesteps      | 7200        |
| train/                  |             |
|    approx_kl            | 0.004385981 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.56       |
|    explained_variance   | -0.43       |
|    learning_rate        | 0.0003      |
|    loss                 | 124         |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00804    |
|    value_loss           | 222         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -133        |
| time/                   |             |
|    fps                  | 488         |
|    iterations           | 13          |
|    time_elapsed         | 15          |
|    total_timesteps      | 7800        |
| train/                  |             |
|    approx_kl            | 0.009375868 |
|    clip_fraction        | 0.0432      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | -0.0339     |
|    learning_rate        | 0.0003      |
|    loss                 | 136         |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 184         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -135         |
| time/                   |              |
|    fps                  | 489          |
|    iterations           | 14           |
|    time_elapsed         | 17           |
|    total_timesteps      | 8400         |
| train/                  |              |
|    approx_kl            | 0.0065625436 |
|    clip_fraction        | 0.0286       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.51        |
|    explained_variance   | -0.18        |
|    learning_rate        | 0.0003       |
|    loss                 | 235          |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00643     |
|    value_loss           | 358          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -133        |
| time/                   |             |
|    fps                  | 487         |
|    iterations           | 15          |
|    time_elapsed         | 18          |
|    total_timesteps      | 9000        |
| train/                  |             |
|    approx_kl            | 0.001841858 |
|    clip_fraction        | 0.00161     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | -0.107      |
|    learning_rate        | 0.0003      |
|    loss                 | 122         |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00271    |
|    value_loss           | 238         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -136        |
| time/                   |             |
|    fps                  | 490         |
|    iterations           | 16          |
|    time_elapsed         | 19          |
|    total_timesteps      | 9600        |
| train/                  |             |
|    approx_kl            | 0.008641295 |
|    clip_fraction        | 0.0251      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.245       |
|    learning_rate        | 0.0003      |
|    loss                 | 23          |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00893    |
|    value_loss           | 129         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -136        |
| time/                   |             |
|    fps                  | 496         |
|    iterations           | 17          |
|    time_elapsed         | 20          |
|    total_timesteps      | 10200       |
| train/                  |             |
|    approx_kl            | 0.004667082 |
|    clip_fraction        | 0.0308      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.45       |
|    explained_variance   | -0.148      |
|    learning_rate        | 0.0003      |
|    loss                 | 85.9        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00813    |
|    value_loss           | 206         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -137        |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 18          |
|    time_elapsed         | 21          |
|    total_timesteps      | 10800       |
| train/                  |             |
|    approx_kl            | 0.004404535 |
|    clip_fraction        | 0.0271      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.214       |
|    learning_rate        | 0.0003      |
|    loss                 | 25.8        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0094     |
|    value_loss           | 152         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -140        |
| time/                   |             |
|    fps                  | 501         |
|    iterations           | 19          |
|    time_elapsed         | 22          |
|    total_timesteps      | 11400       |
| train/                  |             |
|    approx_kl            | 0.011551664 |
|    clip_fraction        | 0.0758      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.405       |
|    learning_rate        | 0.0003      |
|    loss                 | 58.2        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0103     |
|    value_loss           | 162         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -138         |
| time/                   |              |
|    fps                  | 505          |
|    iterations           | 20           |
|    time_elapsed         | 23           |
|    total_timesteps      | 12000        |
| train/                  |              |
|    approx_kl            | 0.0073902616 |
|    clip_fraction        | 0.0219       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | -0.607       |
|    learning_rate        | 0.0003       |
|    loss                 | 112          |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00812     |
|    value_loss           | 337          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -137         |
| time/                   |              |
|    fps                  | 505          |
|    iterations           | 21           |
|    time_elapsed         | 24           |
|    total_timesteps      | 12600        |
| train/                  |              |
|    approx_kl            | 0.0043911706 |
|    clip_fraction        | 0.00943      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.45        |
|    explained_variance   | 0.341        |
|    learning_rate        | 0.0003       |
|    loss                 | 78.2         |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00773     |
|    value_loss           | 152          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -136         |
| time/                   |              |
|    fps                  | 509          |
|    iterations           | 22           |
|    time_elapsed         | 25           |
|    total_timesteps      | 13200        |
| train/                  |              |
|    approx_kl            | 0.0033087197 |
|    clip_fraction        | 0.0136       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.47        |
|    explained_variance   | 0.414        |
|    learning_rate        | 0.0003       |
|    loss                 | 38.8         |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00774     |
|    value_loss           | 166          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -134         |
| time/                   |              |
|    fps                  | 509          |
|    iterations           | 23           |
|    time_elapsed         | 27           |
|    total_timesteps      | 13800        |
| train/                  |              |
|    approx_kl            | 0.0120023675 |
|    clip_fraction        | 0.0593       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.661        |
|    learning_rate        | 0.0003       |
|    loss                 | 24.8         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.0113      |
|    value_loss           | 128          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -136        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 24          |
|    time_elapsed         | 28          |
|    total_timesteps      | 14400       |
| train/                  |             |
|    approx_kl            | 0.008844642 |
|    clip_fraction        | 0.0534      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | -0.109      |
|    learning_rate        | 0.0003      |
|    loss                 | 66.8        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 228         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -136         |
| time/                   |              |
|    fps                  | 510          |
|    iterations           | 25           |
|    time_elapsed         | 29           |
|    total_timesteps      | 15000        |
| train/                  |              |
|    approx_kl            | 0.0043723607 |
|    clip_fraction        | 0.0155       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.402        |
|    learning_rate        | 0.0003       |
|    loss                 | 44.7         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00601     |
|    value_loss           | 107          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -142        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 26          |
|    time_elapsed         | 30          |
|    total_timesteps      | 15600       |
| train/                  |             |
|    approx_kl            | 0.008056528 |
|    clip_fraction        | 0.047       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.422       |
|    learning_rate        | 0.0003      |
|    loss                 | 58.8        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 97          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -145        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 27          |
|    time_elapsed         | 31          |
|    total_timesteps      | 16200       |
| train/                  |             |
|    approx_kl            | 0.004669484 |
|    clip_fraction        | 0.0209      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.27       |
|    explained_variance   | 0.104       |
|    learning_rate        | 0.0003      |
|    loss                 | 106         |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00663    |
|    value_loss           | 407         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -152         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 28           |
|    time_elapsed         | 33           |
|    total_timesteps      | 16800        |
| train/                  |              |
|    approx_kl            | 0.0045335907 |
|    clip_fraction        | 0.0266       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.423        |
|    learning_rate        | 0.0003       |
|    loss                 | 69.3         |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00668     |
|    value_loss           | 228          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -153        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 29          |
|    time_elapsed         | 34          |
|    total_timesteps      | 17400       |
| train/                  |             |
|    approx_kl            | 0.005664308 |
|    clip_fraction        | 0.0219      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 0.429       |
|    learning_rate        | 0.0003      |
|    loss                 | 455         |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00915    |
|    value_loss           | 512         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -148         |
| time/                   |              |
|    fps                  | 507          |
|    iterations           | 30           |
|    time_elapsed         | 35           |
|    total_timesteps      | 18000        |
| train/                  |              |
|    approx_kl            | 0.0030271262 |
|    clip_fraction        | 0.0152       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.242        |
|    learning_rate        | 0.0003       |
|    loss                 | 80.2         |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00558     |
|    value_loss           | 268          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -145         |
| time/                   |              |
|    fps                  | 505          |
|    iterations           | 31           |
|    time_elapsed         | 36           |
|    total_timesteps      | 18600        |
| train/                  |              |
|    approx_kl            | 0.0073662126 |
|    clip_fraction        | 0.0396       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.3         |
|    explained_variance   | 0.659        |
|    learning_rate        | 0.0003       |
|    loss                 | 20.6         |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.011       |
|    value_loss           | 89.9         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -147       |
| time/                   |            |
|    fps                  | 505        |
|    iterations           | 32         |
|    time_elapsed         | 37         |
|    total_timesteps      | 19200      |
| train/                  |            |
|    approx_kl            | 0.00694504 |
|    clip_fraction        | 0.0328     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.39      |
|    explained_variance   | 0.575      |
|    learning_rate        | 0.0003     |
|    loss                 | 16.4       |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0076    |
|    value_loss           | 125        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -146        |
| time/                   |             |
|    fps                  | 504         |
|    iterations           | 33          |
|    time_elapsed         | 39          |
|    total_timesteps      | 19800       |
| train/                  |             |
|    approx_kl            | 0.007079552 |
|    clip_fraction        | 0.0343      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.26       |
|    explained_variance   | 0.647       |
|    learning_rate        | 0.0003      |
|    loss                 | 39.5        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00796    |
|    value_loss           | 122         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -143       |
| time/                   |            |
|    fps                  | 503        |
|    iterations           | 34         |
|    time_elapsed         | 40         |
|    total_timesteps      | 20400      |
| train/                  |            |
|    approx_kl            | 0.01107925 |
|    clip_fraction        | 0.0632     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.27      |
|    explained_variance   | 0.663      |
|    learning_rate        | 0.0003     |
|    loss                 | 17.6       |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0102    |
|    value_loss           | 81.6       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -140        |
| time/                   |             |
|    fps                  | 504         |
|    iterations           | 35          |
|    time_elapsed         | 41          |
|    total_timesteps      | 21000       |
| train/                  |             |
|    approx_kl            | 0.006726852 |
|    clip_fraction        | 0.0389      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.662       |
|    learning_rate        | 0.0003      |
|    loss                 | 12.6        |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00971    |
|    value_loss           | 163         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -139         |
| time/                   |              |
|    fps                  | 506          |
|    iterations           | 36           |
|    time_elapsed         | 42           |
|    total_timesteps      | 21600        |
| train/                  |              |
|    approx_kl            | 0.0046680495 |
|    clip_fraction        | 0.0304       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.519        |
|    learning_rate        | 0.0003       |
|    loss                 | 39.3         |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00904     |
|    value_loss           | 120          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -141        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 37          |
|    time_elapsed         | 43          |
|    total_timesteps      | 22200       |
| train/                  |             |
|    approx_kl            | 0.009696074 |
|    clip_fraction        | 0.0933      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.56        |
|    learning_rate        | 0.0003      |
|    loss                 | 30.3        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0153     |
|    value_loss           | 121         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -141        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 38          |
|    time_elapsed         | 44          |
|    total_timesteps      | 22800       |
| train/                  |             |
|    approx_kl            | 0.007815762 |
|    clip_fraction        | 0.0571      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.753       |
|    learning_rate        | 0.0003      |
|    loss                 | 37.2        |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0136     |
|    value_loss           | 76.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -148        |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 39          |
|    time_elapsed         | 45          |
|    total_timesteps      | 23400       |
| train/                  |             |
|    approx_kl            | 0.013926944 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.882       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.94        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 20.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -150         |
| time/                   |              |
|    fps                  | 509          |
|    iterations           | 40           |
|    time_elapsed         | 47           |
|    total_timesteps      | 24000        |
| train/                  |              |
|    approx_kl            | 0.0075296937 |
|    clip_fraction        | 0.0256       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | -0.681       |
|    learning_rate        | 0.0003       |
|    loss                 | 34.4         |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00454     |
|    value_loss           | 407          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -154         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 41           |
|    time_elapsed         | 48           |
|    total_timesteps      | 24600        |
| train/                  |              |
|    approx_kl            | 0.0075466866 |
|    clip_fraction        | 0.0676       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.27        |
|    explained_variance   | 0.157        |
|    learning_rate        | 0.0003       |
|    loss                 | 58           |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.011       |
|    value_loss           | 187          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -156        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 42          |
|    time_elapsed         | 49          |
|    total_timesteps      | 25200       |
| train/                  |             |
|    approx_kl            | 0.010072053 |
|    clip_fraction        | 0.0462      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 0.156       |
|    learning_rate        | 0.0003      |
|    loss                 | 129         |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.00588    |
|    value_loss           | 276         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -153        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 43          |
|    time_elapsed         | 50          |
|    total_timesteps      | 25800       |
| train/                  |             |
|    approx_kl            | 0.002938692 |
|    clip_fraction        | 0.00813     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | -0.0973     |
|    learning_rate        | 0.0003      |
|    loss                 | 252         |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00583    |
|    value_loss           | 331         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -155         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 44           |
|    time_elapsed         | 51           |
|    total_timesteps      | 26400        |
| train/                  |              |
|    approx_kl            | 0.0070305974 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.16        |
|    explained_variance   | -0.0467      |
|    learning_rate        | 0.0003       |
|    loss                 | 134          |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00351     |
|    value_loss           | 334          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -153        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 45          |
|    time_elapsed         | 53          |
|    total_timesteps      | 27000       |
| train/                  |             |
|    approx_kl            | 0.011119458 |
|    clip_fraction        | 0.0916      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.0003      |
|    loss                 | 185         |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0136     |
|    value_loss           | 457         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -153        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 46          |
|    time_elapsed         | 54          |
|    total_timesteps      | 27600       |
| train/                  |             |
|    approx_kl            | 0.005370816 |
|    clip_fraction        | 0.0311      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.124       |
|    learning_rate        | 0.0003      |
|    loss                 | 108         |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.00671    |
|    value_loss           | 285         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -158         |
| time/                   |              |
|    fps                  | 507          |
|    iterations           | 47           |
|    time_elapsed         | 55           |
|    total_timesteps      | 28200        |
| train/                  |              |
|    approx_kl            | 0.0065155835 |
|    clip_fraction        | 0.0277       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.27        |
|    explained_variance   | 0.692        |
|    learning_rate        | 0.0003       |
|    loss                 | 117          |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.00665     |
|    value_loss           | 140          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -163         |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 48           |
|    time_elapsed         | 56           |
|    total_timesteps      | 28800        |
| train/                  |              |
|    approx_kl            | 0.0034696343 |
|    clip_fraction        | 0.0222       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.18        |
|    explained_variance   | 0.381        |
|    learning_rate        | 0.0003       |
|    loss                 | 84.6         |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00592     |
|    value_loss           | 262          |
