Using cuda device
[34m[1mwandb[0m: [33mWARNING[0m When using several event log directories, please call `wandb.tensorboard.patch(root_logdir="...")` before `wandb.init`
Logging to ./ppo_marl_tb/PPO_14
---------------------------------
| rollout/           |          |
| train/                  |           |
|    approx_kl            | 0.0053615 |
|    clip_fraction        | 0.0315    |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.55     |
|    explained_variance   | 0.155     |
|    learning_rate        | 0.0003    |
|    loss                 | 18.2      |
|    n_updates            | 70        |
|    policy_gradient_loss | -0.00707  |
|    value_loss           | 31.3      |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26           |
|    ep_rew_mean          | -19.8        |
| time/                   |              |
|    fps                  | 485          |
|    iterations           | 9            |
|    time_elapsed         | 75           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0048770183 |
|    clip_fraction        | 0.0339       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.54        |
|    explained_variance   | 0.256        |
|    learning_rate        | 0.0003       |
|    loss                 | 15.7         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00888     |
|    value_loss           | 26.9         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26          |
|    ep_rew_mean          | -20.4       |
| time/                   |             |
|    fps                  | 486         |
|    iterations           | 10          |
|    time_elapsed         | 84          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.006134405 |
|    clip_fraction        | 0.0439      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.53       |
|    explained_variance   | 0.389       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.77        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00938    |
|    value_loss           | 22.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26          |
|    ep_rew_mean          | -19.4       |
| time/                   |             |
|    fps                  | 483         |
|    iterations           | 11          |
|    time_elapsed         | 93          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.008726288 |
|    clip_fraction        | 0.0703      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | 0.222       |
|    learning_rate        | 0.0003      |
|    loss                 | 11.7        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 23          |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 26         |
|    ep_rew_mean          | -18.5      |
| time/                   |            |
|    fps                  | 481        |
|    iterations           | 12         |
|    time_elapsed         | 102        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.00734549 |
|    clip_fraction        | 0.0514     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.51      |
|    explained_variance   | 0.222      |
|    learning_rate        | 0.0003     |
|    loss                 | 8.38       |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0112    |
|    value_loss           | 23.1       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26          |
|    ep_rew_mean          | -18.6       |
| time/                   |             |
|    fps                  | 479         |
|    iterations           | 13          |
|    time_elapsed         | 111         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.006469476 |
|    clip_fraction        | 0.0512      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.5        |
|    explained_variance   | 0.324       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.77        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00963    |
|    value_loss           | 17.4        |
-----------------------------------------
